,Exp1_16_01_2020_video_5
Ave grouping coeff,0.5638779906151766
Global efficiency,0.7056030389363719
Global grouping coeff,MISSING
ave_degree_centrality,0.4273504273504274
average betweenness centrality,0.024843304843304843
bigges_component_size,MISSING
edges_ave,5.555555555555555
number_of_components,1
total_edges,150.0
total_nodes,27
