pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
262.96,111.3,1.9362,8.1447,4.4323,27,30,1.333,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74606,1.1102e-14,NaN,NaN,NaN,1.8376,1.1111,1.333,13.509
262.96,111.3,1.9362,8.1447,4.4323,27,30,1.333,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74606,1.6874,NaN,NaN,NaN,1.8631,1.1233,1.327,13.509
262.72,111.44,2.0712,8.15,4.2014,25,29,1.3087,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9669,4.1801,NaN,NaN,NaN,1.9255,1.1346,1.3141,13.509
262.46,111.21,2.1356,8.6542,4.3607,28,31,1.3061,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1533,3.298,NaN,NaN,NaN,1.9734,1.1204,1.3064,13.509
262.46,111.21,2.1356,8.6542,4.3607,28,31,1.3045,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3002,0.96696,NaN,NaN,NaN,2.0511,1.1054,1.3037,13.347
262.5,111,2.1227,9.4501,4.1988,30,33,1.2998,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7212,1.1789,NaN,NaN,NaN,2.168,1.0924,1.2947,13.347
262.5,110.78,2.0543,9.641,4.4104,32,34,1.2746,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1484,2.7283,NaN,NaN,NaN,2.2183,1.0813,1.2811,13.509
262.5,111,2.1227,9.4501,4.1988,30,33,1.2756,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3.4222,NaN,NaN,NaN,2.2183,1.0813,1.2815,13.509
262.5,110.78,2.0543,9.641,4.4104,32,34,1.3001,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1327,4.0188,NaN,NaN,NaN,2.2054,1.083,1.2995,13.509
262.93,111,1.9381,9.0381,4.1106,28,31,1.322,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.338,3.7598,NaN,NaN,NaN,2.1956,1.096,1.3135,13.509
262.93,111,1.9381,9.0381,4.1106,28,31,1.3098,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0542,3.352,NaN,NaN,NaN,2.1318,1.1148,1.2986,13.509
262.34,110.41,2.0901,8.6607,4.4855,29,33,1.2528,4.4721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9517,6.7007,NaN,NaN,NaN,2.1014,1.1041,1.2619,13.347
262.33,110.67,2.3222,9.789,4.1738,30,31,1.2324,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6176,7.7017,NaN,NaN,NaN,2.2417,1.0595,1.2375,13.347
262.33,110.67,2.3222,9.789,4.1738,30,31,1.2324,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25777,3.4753,NaN,NaN,NaN,2.4324,1.0422,1.2182,13.347
262.41,110.48,2.2762,10.26,3.8091,29,31,1.1759,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0611,1.1488,NaN,NaN,NaN,2.6066,1.0601,1.1901,13.347
262.41,110.48,2.2762,10.26,3.8091,29,31,1.1761,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.62296,0.82037,NaN,NaN,NaN,2.6699,1.0767,1.217,13.211
262.5,110.5,2.2959,10.201,3.9257,30,33,1.3397,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46471,0.49195,NaN,NaN,NaN,2.6223,1.0922,1.2973,13.211
262.5,110.5,2.2959,10.201,3.9257,30,33,1.3337,5.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23236,0.24598,NaN,NaN,NaN,2.5984,1.1,1.3368,13.509
262.5,110.5,2.2959,10.201,3.9257,30,33,1.3399,4.4721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49556,0.61228,NaN,NaN,NaN,2.5464,1.0906,1.3084,13.374
262.5,110.31,2.2469,10.152,4.2474,32,34,1.22,4.4721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.49556,1.8369,NaN,NaN,NaN,2.4943,1.0813,1.2843,13.374
262.5,110.5,2.2959,10.201,3.9257,30,33,1.3574,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.47352,2.2229,NaN,NaN,NaN,2.5387,1.0818,1.2824,13.211
262.39,110.45,2.3268,10.332,4.0236,31,33,1.1946,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64317,1.3843,NaN,NaN,NaN,2.5755,1.0734,1.2308,13.211
262.39,110.45,2.3268,10.332,4.0236,31,33,1.1767,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32465,0.386,NaN,NaN,NaN,2.5679,1.0645,1.1854,13.211
262.39,110.45,2.3268,10.332,4.0236,31,33,1.1936,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,2.5679,1.0645,1.1903,13.211
262.39,110.45,2.3268,10.332,4.0236,31,33,1.1974,5.6569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,2.5679,1.0806,1.1942,13.211
262.39,110.45,2.3268,10.332,4.0236,31,35,1.1885,4.4721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,2.5679,1.1048,1.1906,13.211
262.39,110.45,2.3268,10.332,4.0236,31,34,1.188,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,2.5679,1.1048,1.1873,13.211
262.39,110.45,2.3268,10.332,4.0236,31,34,1.1848,5.6569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32465,0.3679,NaN,NaN,NaN,2.5645,1.096,1.2256,13.211
