pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
339,203.76,2.9037,6.9687,3.4015,17,19,1.0876,19.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.143,0,NaN,NaN,NaN,2.0487,1.1176,1.0876,32.205
339,203.76,2.9037,6.9687,3.4015,17,19,1.0876,19.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.143,7.7187,NaN,NaN,NaN,2.1182,1.0991,1.1436,32.513
332.13,196.13,2.2862,8.5691,3.6827,23,24,1.3116,25.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.146,17.635,NaN,NaN,NaN,2.1897,1.1055,1.294,32.998
331.74,196.57,2.462,8.0059,3.8928,23,28,1.4653,26.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.994,12.114,NaN,NaN,NaN,2.1242,1.1739,1.4269,33.082
331.74,196.57,2.462,8.0059,3.8928,23,28,1.4653,26.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1582,2.4754,NaN,NaN,NaN,2.0993,1.163,1.4707,32.923
331.58,196.73,2.4398,8.9325,4.0105,26,26,1.4867,25.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2251,0.5559,NaN,NaN,NaN,2.1846,1.0832,1.4788,32.923
331.58,196.73,2.4398,8.9325,4.0105,26,29,1.4762,25.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.58641,0.96216,NaN,NaN,NaN,2.2375,1.0777,1.4798,32.923
331.52,196.6,2.4945,8.7354,3.8514,25,27,1.4801,25.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75389,1.3684,NaN,NaN,NaN,2.2579,1.0788,1.4799,32.923
331.52,196.6,2.4945,8.7354,3.8514,25,26,1.4832,25.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37694,0.6842,NaN,NaN,NaN,2.2681,1.06,1.4876,32.923
331.52,196.6,2.4945,8.7354,3.8514,25,27,1.5037,25.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.2204e-14,NaN,NaN,NaN,2.2681,1.08,1.501,32.923
