pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
326.31,342.56,-0.35984,8.8664,4.8403,32,34,1.0973,93.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,0,NaN,NaN,NaN,1.8318,1.0625,1.0973,2.7487
326.31,342.56,-0.35984,8.8664,4.8403,32,34,1.0973,93.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,0.15224,NaN,NaN,NaN,1.8739,1.0703,1.1034,2.7487
327.13,342.59,-0.34766,9.3073,4.653,32,35,1.1217,92.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6233,0.96098,NaN,NaN,NaN,1.9361,1.0764,1.1198,2.7487
327.94,343.08,-0.40018,9.6102,5.026,36,38,1.1383,91.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0078,1.4652,NaN,NaN,NaN,1.9341,1.0651,1.1342,2.7487
327.94,343.08,-0.40018,9.6102,5.026,36,38,1.1383,91.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3694,1.0668,NaN,NaN,NaN,1.8921,1.0625,1.1257,2.7487
329.03,343.31,-0.43301,9.4468,5.1561,36,39,1.0879,90.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2185,1.6557,NaN,NaN,NaN,1.8661,1.0859,1.0999,2.7487
329.12,343.52,-0.36621,9.1942,4.8696,33,37,1.0854,90.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9045,3.0975,NaN,NaN,NaN,1.8831,1.1218,1.1013,2.5373
329.94,343.68,-0.44758,8.9658,4.6594,31,36,1.1464,90.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7651,2.8693,NaN,NaN,NaN,1.9152,1.1513,1.134,2.5461
329.94,343.68,-0.44758,8.9658,4.6594,31,36,1.1576,90.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.376,2.5637,NaN,NaN,NaN,1.9283,1.1444,1.1357,2.5461
330.75,343.81,-0.32386,9.1993,4.741,32,35,1.0812,90.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3643,3.0931,NaN,NaN,NaN,1.9363,1.1106,1.1003,2.5723
330.75,343.81,-0.32386,9.1993,4.741,32,35,1.0812,90.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8484,2.4541,NaN,NaN,NaN,1.9572,1.0846,1.0818,2.5723
332.09,344.2,-0.39647,9.7242,4.8438,35,37,1.0836,89.286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5637,4.1047,NaN,NaN,NaN,1.9436,1.0592,1.0978,2.6153
