pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
424.64,321.82,-2.8111,9.5142,4.0561,28,28,1.1414,22.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0093,0,NaN,NaN,NaN,2.3456,1,1.1414,2.4658
424.64,321.82,-2.8111,9.5142,4.0561,28,28,1.1414,22.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0093,1.7907,NaN,NaN,NaN,2.2379,1.0278,1.1499,2.4658
424.7,321.44,-2.6678,8.4345,4.405,27,30,1.1754,24.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9876,4.1821,NaN,NaN,NaN,2.1335,1.0741,1.1748,2.6493
425,321.15,-2.7159,9.4,3.9851,27,29,1.207,25.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0902,2.9919,NaN,NaN,NaN,2.2478,1.0833,1.1991,2.6493
425,321.15,-2.7159,9.4,3.9851,27,29,1.207,25.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3169,1.0417,NaN,NaN,NaN,2.3465,1.0741,1.2022,2.6493
425.07,321.11,-2.7512,9.1297,3.9526,27,29,1.1881,24.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5094,1.5275,NaN,NaN,NaN,2.2976,1.0734,1.1982,2.6493
425.86,321,-2.6996,9.2437,4.1791,28,30,1.2095,25.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.481,2.7034,NaN,NaN,NaN,2.1782,1.0831,1.2027,2.5548
426.27,320.96,-2.7773,8.2966,4.1919,26,29,1.2038,25.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2769,2.5889,NaN,NaN,NaN,2.0374,1.1044,1.2052,2.5548
426.27,320.96,-2.7773,8.2966,4.1919,26,29,1.2038,25.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1026,1.1018,NaN,NaN,NaN,1.9509,1.1143,1.2091,2.5548
426.26,320.89,-2.7669,8.1519,4.369,27,30,1.2249,25.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38762,0.25986,NaN,NaN,NaN,1.8942,1.1122,1.2175,2.5548
