pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
335,143,-2.0344,9.3666,2.7809,10,21,1.4227,54.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1164,0,NaN,NaN,NaN,3.3682,2.1,1.4227,27.487
335,143,-2.0344,9.3666,2.7809,10,21,1.4227,54.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1164,5.7956,NaN,NaN,NaN,2.825,2.2313,1.4147,27.692
334,145.5,-1.5708,3.6515,3.0551,8,21,1.3908,45.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.015,31.226,NaN,NaN,NaN,1.6897,2.8375,1.4287,27.846
334,145,0,2.7809,2.7809,5,20,1.5105,46.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1389,58.004,NaN,NaN,NaN,1.2137,3.1335,1.4739,27.846
334.36,144,1.0351,5.1004,3.0734,11,21,1.4836,46.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9906,46.413,NaN,NaN,NaN,1.5532,2.4545,1.4999,27.641
334.5,144,1.1071,5.2662,2.7809,10,20,1.522,46.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9549,15.641,NaN,NaN,NaN,1.7766,1.9545,1.5046,27.641
334.36,144,1.0351,5.1004,3.0734,11,21,1.4909,46.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4377,5.0284,NaN,NaN,NaN,1.7571,1.8474,1.5053,27.641
334.29,144.5,1.2211,5.9732,3.29,14,22,1.5172,46.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5022,9.9231,NaN,NaN,NaN,1.6215,1.9192,1.4745,27.846
334,145.5,1.5708,3.6515,3.0551,8,21,1.3726,46.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8267,11.068,NaN,NaN,NaN,1.3503,2.3616,1.4077,27.846
334,145.5,1.5708,3.6515,3.0551,8,21,1.3686,46.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7487,4.371,NaN,NaN,NaN,1.1952,2.625,1.369,28.052
