pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
253.07,250.93,1.2677,6.605,5.7907,27,29,1.0861,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1.1406,1.0741,1.0861,12.861
253.07,250.93,1.2677,6.605,5.7907,27,29,1.0861,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1.1406,1.0741,1.0822,12.861
253.07,250.93,1.2677,6.605,5.7907,27,29,1.0705,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21723,1.6631,NaN,NaN,NaN,1.1444,1.0748,1.0805,12.861
253,250.96,1.4008,6.6399,5.746,26,28,1.0947,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43445,3.3261,NaN,NaN,NaN,1.1518,1.0762,1.09,12.861
253,250.96,1.4008,6.6399,5.746,26,28,1.1001,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21723,1.6631,NaN,NaN,NaN,1.1556,1.0769,1.0963,12.861
253,250.96,1.4008,6.6399,5.746,26,28,1.0902,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21723,1.6631,NaN,NaN,NaN,1.1518,1.0762,1.0909,12.861
253.07,250.93,1.2677,6.605,5.7907,27,29,1.0832,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43445,3.3261,NaN,NaN,NaN,1.1444,1.0748,1.0853,12.861
253.07,250.93,1.2677,6.605,5.7907,27,29,1.0848,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21723,1.6631,NaN,NaN,NaN,1.1406,1.0833,1.0826,12.861
253.07,250.93,1.2677,6.605,5.7907,27,30,1.0775,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1.1406,1.1111,1.0784,12.861
253.07,250.93,1.2677,6.605,5.7907,27,31,1.0739,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.029,2.2952,NaN,NaN,NaN,1.1809,1.118,1.0758,12.861
252.87,251.26,1.0841,7.3975,5.6824,31,33,1.0777,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0579,4.5904,NaN,NaN,NaN,1.2615,1.0774,1.0779,12.861
252.87,251.26,1.0841,7.3975,5.6824,31,32,1.082,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.83984,3.3583,NaN,NaN,NaN,1.2994,1.0406,1.0805,12.861
252.87,251.17,0.99909,7.3198,5.6649,30,31,1.0804,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0163,4.9731,NaN,NaN,NaN,1.2661,1.0515,1.0819,12.861
253.04,251,1.2268,6.7121,5.6966,28,31,1.085,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4277,6.7571,NaN,NaN,NaN,1.2067,1.0887,1.0839,12.861
253.04,251,1.2268,6.7121,5.6966,28,31,1.085,63.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.62742,2.847,NaN,NaN,NaN,1.1783,1.1071,1.085,12.861
