pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
414,77,1.0981,10.223,4.2887,33,34,1.5433,30.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22653,0,NaN,NaN,NaN,2.3838,1.0303,1.5433,9.1017
414,77,1.0981,10.223,4.2887,33,34,1.5433,30.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22653,0.68723,NaN,NaN,NaN,2.3645,1.0303,1.5406,9.1017
413.94,76.939,1.0432,10.086,4.3727,33,34,1.5325,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45306,1.3745,NaN,NaN,NaN,2.3259,1.0303,1.5386,9.1017
413.94,76.939,1.0432,10.086,4.3727,33,34,1.5462,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22653,0.68723,NaN,NaN,NaN,2.3067,1.0303,1.5422,9.1017
413.94,76.939,1.0432,10.086,4.3727,33,34,1.544,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32399,0.32283,NaN,NaN,NaN,2.3171,1.0374,1.5481,9.1017
413.91,77.059,1.069,10.299,4.3856,34,36,1.5582,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64797,0.64566,NaN,NaN,NaN,2.338,1.0517,1.5547,9.1017
413.91,77.059,1.069,10.299,4.3856,34,36,1.5582,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32399,0.32283,NaN,NaN,NaN,2.3485,1.0588,1.5547,9.1017
413.91,77.059,1.069,10.299,4.3856,34,36,1.544,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.1102e-14,NaN,NaN,NaN,2.3485,1.0588,1.552,9.1017
413.91,77.059,1.069,10.299,4.3856,34,36,1.5616,30.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28028,0.3644,NaN,NaN,NaN,2.3573,1.0593,1.5611,9.1017
414,77,1.0981,10.223,4.2887,33,35,1.5771,30.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.84083,1.0932,NaN,NaN,NaN,2.3661,1.0597,1.5773,9.1017
